brand_name,season,title,cover_image,show_url,year,category
Fendi,Fall 2024 Ready To Wear,Fendi,https://assets.vogue.com/photos/65d66ddc59a2180ce8a2da92/16:9/pass/00001-fendi-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/fendi,2024,Ready-to-Wear
Givenchy,Fall 2024 Menswear,Givenchy,https://assets.vogue.com/photos/65a80a69af2ff5690ef30d0b/16:9/pass/00001-givenchy-fall-2024-mens-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/givenchy,2024,Menswear
Givenchy,Fall 2024 Ready To Wear,Givenchy,https://assets.vogue.com/photos/65e0b6b8fed1ba79f0f2218b/16:9/pass/00001-givenchy-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/givenchy,2024,Ready-to-Wear
Gucci,Fall 2024 Ready To Wear,Gucci,https://assets.vogue.com/photos/65d8d79391324d52501e7dbb/16:9/pass/00001-gucci-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/gucci,2024,Ready-to-Wear
Gucci,Fall 2025 Menswear,Gucci,https://assets.vogue.com/photos/67bf053a7cf01ffeb8149d2a/16:9/pass/00001-gucci-fall-2025-menswear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/gucci,2025,Menswear
Helmut Lang,Fall 2024 Ready To Wear,Helmut Lang,https://assets.vogue.com/photos/65c693b09ed6e2d387b34223/16:9/pass/00001-helmut-lang-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/helmut-lang,2024,Ready-to-Wear
Helmut Lang,Pre Fall 2024,Helmut Lang,https://assets.vogue.com/photos/6572173c3dcd506d5364795e/16:9/pass/00001-helmut-lang-pre-fall-2024-credit-brand.jpg,https://www.vogue.com/fashion-shows/pre-fall-2024/helmut-lang,2024,
Hermès,Fall 2024 Menswear,Hermès,https://assets.vogue.com/photos/65abd70d3b1216a455cb84fa/16:9/pass/_DAN0025.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/hermes,2024,Menswear
Hermès,Fall 2024 Ready To Wear,Hermès,https://assets.vogue.com/photos/65e34a4af88752637a65d8bc/16:9/pass/00001-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/hermes,2024,Ready-to-Wear
Issey Miyake,Fall 2024 Ready To Wear,Issey Miyake,https://assets.vogue.com/photos/65e1dbcdbeb1ce7823542607/16:9/pass/00001-issey-miyake-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/issey-miyake,2024,Ready-to-Wear
